,ID_MUNICIP,GRUPO_IDADE,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
522,150620,"(49, 59]",6,0.0,5.0,1.0,15
523,150620,"(9, 14]",2,1.0,0.0,1.0,15
524,150630,"(29, 39]",1,0.0,1.0,0.0,15
525,150635,"(0, 4]",3,0.0,2.0,1.0,15
526,150635,"(14, 19]",1,1.0,0.0,0.0,15
527,150635,"(19, 29]",4,1.0,1.0,2.0,15
528,150635,"(29, 39]",1,1.0,0.0,0.0,15
529,150635,"(39, 49]",2,0.0,2.0,0.0,15
530,150635,"(49, 59]",1,0.0,1.0,0.0,15
531,150635,"(9, 14]",2,1.0,0.0,1.0,15
532,150640,"(0, 4]",3,1.0,0.0,2.0,15
533,150640,"(14, 19]",8,0.0,5.0,3.0,15
534,150640,"(19, 29]",13,1.0,6.0,6.0,15
535,150640,"(29, 39]",2,0.0,1.0,1.0,15
536,150640,"(39, 49]",1,0.0,1.0,0.0,15
537,150640,"(4, 9]",2,0.0,0.0,2.0,15
538,150640,"(9, 14]",1,0.0,0.0,1.0,15
539,150650,"(0, 4]",3,0.0,3.0,0.0,15
540,150650,"(14, 19]",1,0.0,1.0,0.0,15
541,150650,"(19, 29]",11,3.0,7.0,1.0,15
542,150650,"(29, 39]",3,0.0,2.0,1.0,15
543,150650,"(4, 9]",1,0.0,1.0,0.0,15
544,150660,"(0, 4]",2,0.0,2.0,0.0,15
545,150660,"(14, 19]",1,0.0,0.0,1.0,15
546,150660,"(19, 29]",1,0.0,1.0,0.0,15
547,150680,"(0, 4]",22,2.0,19.0,1.0,15
548,150680,"(14, 19]",2,1.0,0.0,1.0,15
549,150680,"(19, 29]",7,0.0,2.0,5.0,15
550,150680,"(29, 39]",5,1.0,1.0,3.0,15
551,150680,"(39, 49]",5,0.0,1.0,4.0,15
552,150680,"(4, 9]",2,1.0,0.0,1.0,15
553,150680,"(49, 59]",2,0.0,0.0,2.0,15
554,150680,"(59, 69]",1,0.0,1.0,0.0,15
555,150680,nan,1,0.0,0.0,1.0,15
556,150700,"(0, 4]",3,0.0,2.0,1.0,15
557,150715,"(0, 4]",1,1.0,0.0,0.0,15
558,150715,"(39, 49]",1,0.0,1.0,0.0,15
559,150720,"(0, 4]",1,0.0,1.0,0.0,15
560,150720,"(14, 19]",11,5.0,5.0,1.0,15
