,ID_MUNICIP,CASOS,VAC,N_VAC,I_VAC,SG_UF_NOT
560,351907,19,14.0,4.0,1.0,35
561,351920,1,1.0,0.0,0.0,35
562,351930,4,2.0,2.0,0.0,35
563,351940,1,1.0,0.0,0.0,35
564,351950,2,1.0,1.0,0.0,35
565,351960,4,3.0,1.0,0.0,35
566,351970,1,1.0,0.0,0.0,35
567,352000,3,2.0,1.0,0.0,35
568,352030,1,0.0,0.0,1.0,35
569,352040,7,4.0,3.0,0.0,35
570,352044,2,2.0,0.0,0.0,35
571,352050,40,28.0,11.0,1.0,35
572,352090,1,1.0,0.0,0.0,35
573,352100,3,2.0,0.0,1.0,35
574,352210,14,7.0,4.0,3.0,35
575,352220,80,23.0,26.0,31.0,35
576,352230,23,13.0,4.0,6.0,35
577,352240,2,2.0,0.0,0.0,35
578,352250,72,24.0,44.0,4.0,35
579,352260,4,1.0,1.0,2.0,35
580,352270,2,1.0,1.0,0.0,35
581,352280,1,0.0,1.0,0.0,35
582,352290,2,1.0,1.0,0.0,35
583,352310,185,82.0,89.0,14.0,35
584,352340,9,7.0,1.0,1.0,35
585,352360,1,1.0,0.0,0.0,35
586,352380,1,0.0,1.0,0.0,35
587,352390,45,27.0,14.0,4.0,35
588,352400,4,4.0,0.0,0.0,35
589,352420,2,2.0,0.0,0.0,35
590,352430,7,7.0,0.0,0.0,35
591,352440,13,10.0,1.0,2.0,35
592,352470,22,15.0,6.0,1.0,35
593,352480,3,2.0,0.0,1.0,35
594,352500,48,13.0,13.0,22.0,35
595,352520,1,0.0,0.0,1.0,35
596,352530,20,13.0,5.0,2.0,35
597,352550,5,2.0,2.0,1.0,35
598,352570,4,3.0,1.0,0.0,35
599,352585,1,1.0,0.0,0.0,35
600,352590,182,98.0,40.0,44.0,35
601,352600,4,4.0,0.0,0.0,35
602,352610,1,0.0,1.0,0.0,35
603,352620,3,1.0,2.0,0.0,35
604,352640,1,1.0,0.0,0.0,35
605,352670,3,2.0,0.0,1.0,35
606,352690,54,30.0,18.0,6.0,35
607,352710,1,1.0,0.0,0.0,35
608,352720,12,7.0,3.0,2.0,35
609,352730,6,4.0,2.0,0.0,35
610,352740,1,1.0,0.0,0.0,35
611,352760,3,2.0,1.0,0.0,35
612,352840,5,4.0,0.0,1.0,35
613,352850,92,42.0,45.0,5.0,35
614,352890,2,1.0,1.0,0.0,35
615,352900,41,30.0,11.0,0.0,35
616,352930,3,3.0,0.0,0.0,35
617,352940,286,59.0,122.0,105.0,35
618,352960,1,0.0,1.0,0.0,35
619,353010,1,1.0,0.0,0.0,35
620,353030,12,12.0,0.0,0.0,35
621,353040,1,1.0,0.0,0.0,35
622,353050,1,1.0,0.0,0.0,35
623,353060,221,78.0,87.0,56.0,35
624,353070,15,10.0,5.0,0.0,35
625,353080,9,6.0,2.0,1.0,35
626,353110,26,14.0,8.0,4.0,35
627,353120,1,1.0,0.0,0.0,35
628,353130,1,0.0,0.0,1.0,35
629,353180,2,0.0,2.0,0.0,35
630,353190,2,0.0,2.0,0.0,35
631,353240,3,2.0,0.0,1.0,35
632,353260,1,0.0,1.0,0.0,35
633,353300,1,1.0,0.0,0.0,35
634,353340,1,1.0,0.0,0.0,35
635,353360,1,1.0,0.0,0.0,35
636,353390,1,1.0,0.0,0.0,35
637,353410,1,1.0,0.0,0.0,35
638,353440,314,129.0,118.0,67.0,35
639,353470,25,17.0,6.0,2.0,35
640,353490,1,0.0,1.0,0.0,35
641,353520,1,1.0,0.0,0.0,35
642,353540,1,0.0,1.0,0.0,35
643,353550,3,3.0,0.0,0.0,35
644,353560,1,1.0,0.0,0.0,35
645,353600,1,1.0,0.0,0.0,35
646,353620,4,1.0,3.0,0.0,35
647,353650,31,23.0,4.0,4.0,35
648,353670,4,3.0,1.0,0.0,35
649,353680,1,1.0,0.0,0.0,35
650,353710,2,1.0,1.0,0.0,35
651,353720,3,2.0,0.0,1.0,35
652,353730,2,1.0,1.0,0.0,35
653,353740,3,3.0,0.0,0.0,35
654,353760,25,15.0,4.0,6.0,35
655,353780,3,2.0,1.0,0.0,35
