,Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Total
4349,420245,1516,1419,1283,1346,3341,3461,3000,2616,1811,797,299,20889
4350,420250,321,325,293,286,770,741,646,682,400,228,109,4801
4351,420253,229,218,187,167,476,504,472,389,266,129,67,3104
4352,420257,125,122,105,99,268,284,279,310,275,184,85,2136
4353,420260,855,811,699,673,1610,1518,1261,1226,842,447,211,10153
4354,420270,291,301,299,291,793,918,713,800,531,302,157,5396
4355,420280,2326,2253,2092,2297,5788,5859,4702,4398,2734,1304,541,34294
4356,420285,275,260,248,244,539,642,531,437,311,206,101,3794
4357,420287,147,142,108,115,336,311,348,340,249,151,71,2318
4358,420290,8929,9028,9405,9751,23189,26401,19906,16142,10760,4856,2230,140597
4359,420300,6221,5855,5306,5634,13250,12346,10894,9523,6155,3315,1518,80017
4360,420310,320,327,296,293,893,942,802,858,751,396,234,6112
4361,420315,355,324,244,233,605,468,399,355,205,99,38,3325
4362,420320,7482,6868,6030,6439,16168,14846,12356,9034,5117,2041,798,87179
4363,420325,173,168,138,122,350,329,341,371,262,141,72,2467
4364,420330,874,828,714,729,1695,1699,1765,1499,1187,655,340,11985
4365,420340,510,499,424,379,956,1002,962,952,664,357,184,6889
4366,420350,620,565,461,494,1304,1265,1024,1024,807,505,243,8312
4367,420360,2724,2598,2312,2364,5946,5754,4941,4444,3239,1717,822,36861
4368,420370,935,908,857,941,2046,2027,1704,1485,926,492,232,12553
4369,420380,3891,3736,3324,3430,8389,8468,7895,6953,4798,2473,1201,54558
4370,420390,1570,1488,1410,1585,3450,3515,3377,3077,2014,1180,552,23218
4371,420395,1759,1711,1630,1601,3804,4164,3396,3278,2434,1184,516,25477
4372,420400,800,754,671,723,1749,1676,1549,1435,946,553,250,11106
4373,420410,191,193,166,150,445,501,451,540,438,263,124,3462
4374,420415,166,162,140,137,372,435,376,388,300,161,72,2709
4375,420417,197,192,155,158,440,436,440,415,300,181,99,3013
4376,420419,248,235,189,198,473,439,413,424,251,105,50,3025
4377,420420,15792,15138,14619,15560,38138,40373,31764,26729,17340,8500,3634,227587
4378,420425,878,900,865,929,2498,2934,2395,2522,1876,830,329,16956
4379,420430,4593,4488,4302,4415,10661,11830,10818,10120,7861,4495,2100,75683
4380,420435,258,262,251,258,713,835,629,590,442,245,102,4585
4381,420440,528,523,491,513,1295,1549,1312,1441,1150,747,351,9900
4382,420445,137,138,116,122,393,357,383,408,268,164,74,2560
4383,420450,1140,1111,1046,1040,2531,2685,2344,1942,1324,726,411,16300
