"Município";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";" Total"
"110180 VALE DO PARAISO";"0";"135,47";"74,16";"71,43";"109,91";"103,08";"118,35";"251,72";"356,60";"117,17";"110,31";"88,66";"72,16";"98,97";"154,55";"126,51";"91,59";"82,22";"108,89";"87,76";"136,71";"101,27";"107,41";"183,87";"166,67";"114,31"
"120001 ACRELANDIA";"0";"14,10";"62,82";"226,16";"108,65";"133,62";"106,81";"109,38";"132,41";"102,20";"107,04";"99,26";"86,67";"104,44";"97,57";"84,58";"85,21";"73,13";"70,52";"81,98";"83,59";"94,14";"65,76";"72,15";"67,62";"94,71"
"120005 ASSIS BRASIL";"0";"2,70";"62,16";"100,88";"87,60";"55,83";"62,87";"57,50";"130,04";"79,26";"69,64";"76,19";"79,17";"63,99";"74,81";"32,11";"53,81";"80,83";"45,08";"68,95";"62,10";"59,68";"40,60";"68,37";"46,36";"66,83"
"120010 BRASILEIA";"0";"58,66";"87,66";"86,12";"124,44";"240,26";"108,47";"87,92";"115,01";"77,42";"99,79";"116,77";"105,10";"99,15";"88,20";"133,13";"73,11";"70,75";"78,06";"82,65";"77,72";"62,63";"74,81";"70,78";"54,34";"94,52"
"120013 BUJARI";"0";"223,33";"226,67";"192,86";"211,29";"127,97";"150,40";"109,73";"72,88";"90,48";"76,73";"107,55";"96,86";"104,40";"96,94";"104,55";"104,46";"79,75";"31,82";"49,60";"52,77";"56,03";"44,68";"48,55";"50,96";"81,21"
"120017 CAPIXABA";"0";"41,51";"262,26";"361,54";"171,43";"273,55";"153,00";"113,82";"133,77";"95,88";"85,28";"81,22";"89,85";"79,70";"97,10";"123,88";"98,96";"82,05";"73,93";"85,57";"62,14";"14,40";"48,39";"95,26";"43,33";"101,32"
"120020 CRUZEIRO DO SUL";"0";"23,06";"28,80";"64,90";"101,21";"105,64";"97,38";"98,20";"90,78";"100,39";"127,23";"109,97";"117,03";"79,55";"103,51";"72,04";"90,92";"73,53";"73,03";"69,37";"98,99";"50,06";"51,96";"64,87";"73,35";"80,84"
"120025 EPITACIOLANDIA";"0";"24,80";"146,80";"113,53";"120,54";"158,24";"112,69";"94,14";"124,55";"112,45";"113,96";"103,77";"110,94";"103,02";"110,97";"95,39";"87,64";"61,83";"116,79";"98,15";"89,00";"28,87";"47,77";"61,43";"48,82";"95,98"
"120030 FEIJO";"0";"43,10";"120,38";"134,11";"128,85";"120,70";"81,80";"83,10";"464,86";"86,70";"101,86";"149,79";"107,44";"102,72";"64,04";"84,02";"55,65";"59,49";"71,36";"71,17";"80,07";"51,62";"58,21";"63,50";"42,55";"87,34"
"120032 JORDAO";"0";"4133,33";"6066,67";"1263,64";"950,00";"942,31";"70,83";"49,09";"61,54";"94,35";"89,64";"119,82";"105,41";"102,70";"118,67";"113,06";"84,13";"95,73";"96,80";"91,15";"97,74";"67,29";"105,50";"133,17";"124,21";"113,29"
"120033 MANCIO LIMA";"0";"10,54";"48,88";"141,13";"105,94";"151,39";"69,54";"86,21";"77,80";"69,09";"99,78";"97,79";"87,20";"99,56";"83,78";"86,79";"83,96";"57,38";"55,45";"86,46";"101,96";"74,58";"72,17";"56,43";"54,43";"81,50"
"120034 MANOEL URBANO";"0";"4,08";"140,82";"182,76";"139,26";"105,46";"102,56";"95,15";"117,01";"116,67";"126,37";"86,81";"98,90";"98,90";"69,53";"98,43";"98,23";"99,59";"96,71";"88,98";"52,87";"49,43";"79,13";"72,50";"53,91";"91,32"
"120035 MARECHAL THAUMATURGO";"0";"48,03";"152,63";"191,53";"145,78";"227,21";"88,00";"100,87";"87,84";"59,72";"91,47";"119,05";"100,99";"94,64";"72,11";"98,09";"52,19";"50,69";"72,69";"80,83";"94,33";"102,58";"33,93";"70,66";"44,94";"90,51"
